"mergeid","cftype","gniscode","cfname","cfsubtype","comment","source","jurisdicti","community","address","POINT_X","POINT_Y"
"20373","School",412225,"Lindblom Math and Science Academy High School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","6130 S Wolcott Ave",-87.6721645804,41.7820970557
"20374","School",407589,"Earle Elementary School","Public School","Additional GNIS codes of 1826536 and 1836532.","ACGI","CHICAGO BD EDUCATION","Chicago","6121 S Hermitage Ave",-87.6673202563,41.782164315
"20375","School",419400,"Sunnyside Elementary School","Public School",,"CGI","SCHOOL DIST # 87","Berkeley","5412 Saint Charles Rd",-87.9041255707,41.8910472322
"20376","School",408810,"Fulton Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","5300 S Hermitage Ave",-87.6689285672,41.7971314205
"20377","School",418237,"Seward Elementary Communication Arts Academy","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","4600 S Hermitage Ave",-87.6692579056,41.80986192
"20378","School",1825985,"Chavez Elementary Multicultural Academy Center","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","1614 W 48th St",-87.665816771,41.8072712242
"20379","School",417123,"Brighton Park Elementary School","Public School","Additional GNIS code of 1833305.","ACGI","CHICAGO BOARD OF ED","Chicago","3825 S Washtenaw Ave",-87.6919697041,41.8240715804
"20380","School",0,"Columbia Explorers Elementary Academy","Public School",,"AGI","CHICAGO BOARD OF ED","Chicago","4530 S Kedzie Ave",-87.7042310274,41.8109669855
"20410","School",412685,"Hancock College Preparatory High School","Public School",,"ACGI","SISTERS ST JOSEPH 3OSF","Chicago","4038 W 56th St",-87.7249735725,41.7922822064
"20420","School",413011,"Mark Twain School","Public School",,"C","City Of Northlake","Northlake","201 S 46th Ave",-87.8880813184,41.9040921783
"20425","School",0,"Calmeca Academy of Fine Arts and Dual Language","Public School",,"AI","CHICAGO PUB BLDG COMM","Chicago","3701 S Saint Louis Ave",-87.7109309892,41.8252917734
"20426","School",0,"Uno Charter - Garcia High School","Public School",,"I",,"Chicago","4248 W 47th St",-87.7307623575,41.8090741625
"20427","School",0,"Uno Charter - Zizumbo","Public School",,"I",,"Chicago","4248 W 47th St",-87.7307623575,41.8090741625
"20428","School",0,"Shields Middle School","Public School",,"A","CHICAGO PUB BLDG COMM","Chicago","2611 W 48th St",-87.6896360514,41.8061725247
"20430","School",0,"Uno Charter - Torres","Public School",,"I",,"Chicago","4248 W 47th St",-87.7307623575,41.8090741625
"20431","School",0,"MacArthur Middle School","Public School",,"AGI","SCHOOL DIST #87","Berkeley","1310 Wolf Rd",-87.9041255707,41.8910472322
"20435","School",411430,"Kershaw Elementary School","Public School",,"ACGI","CHICAGO CITY OF","Chicago","6450 S Lowe Ave",-87.6417754171,41.7774586429
"20436","School",0,"Kennedy King College","Public School",,"G","CHICAGO DEPT PLANNING","Chicago","710 W 65th St",-87.6440018803,41.7781028123
"20441","School",421550,"Yale Elementary School","Public School","Closed","ACGI","CHICAGO BOARD OF ED","Chicago","7025 S Princeton Ave",-87.6322908836,41.7667579252
"20458","School",417216,"Saint Brendan School","Non Public School",,"CG","BRENDAN SENIOR HOUSING","Chicago","6715 S Elizabeth St",-87.654865922,41.7718025828
"20459","School",411948,"Leo Catholic High School","Non Public School",,"ABCGI","CATHOLIC BISHOP CHGO","Chicago","7901 S Sangamon St",-87.6471995806,41.7505464533
"20461","School",0,"Ezzard Charles School","Non Public School",,"ABGI","EZZARD CHARLES SCHOOL","Chicago","7946 S Ashland Ave",-87.6637818572,41.7489977921
"20466","School",1826551,"Ambassadors of Technical and Performing Arts Academy","Non Public School",,"ACG","AMBASSADORS FOR CHRIST","Chicago","7859 S Ashland Ave",-87.6630111379,41.7512113435
"20475","School",1832887,"Robeson Achievement Academy High School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","6835 S Normal Blvd",-87.6347320411,41.770252762
"20477","School",0,"Davis M Magnet Elementary School","Public School",,"AGI","CHICAGO BOARD OF ED","Chicago","6732 S Paulina St",-87.6670270478,41.771245145
"20488","School",417510,"Saint Leo's School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","7747 S Emerald Ave",-87.642915608,41.752937652
"20497","School",426672,"Westcott Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","409 W 80th St",-87.6358191196,41.7480686834
"20499","School",403873,"Mays Elementary School","Public School","School was previously Banneker Elementary, but according to the public school closing news release it was taken over by Mays Elementary.","ACGI","CHICAGO BD EDUCATION","Chicago","6654 S Normal Blvd",-87.6376780815,41.7730543143
"20501","School",417204,"Academy of Saint Benedict the African East","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Chicago","6547 S Stewart Ave",-87.6340939088,41.77493823
"20503","School",423609,"Amandla Elementary Charter School","Public School",,"ABCGI","CHICAGO BD EDUCATION","Chicago","6800 S Stewart Ave",-87.6347320411,41.770252762
"20504","School",0,"Noble Street Charter School - Johnson High School","Public School",,"GI","CHICAGO BD EDUCATION","Chicago","6346 S Stewart Ave",-87.6356723083,41.7786165857
"20507","School",417233,"Saint Celestine School","Non Public School",,"ACG","CATHOLIC BISHOP CHGO","Elmwood Park","3020 76th Ct",-87.8181359045,41.9350167627
"20510","School",415397,"Parker Elementary Community Academy","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","6800 S Stewart Ave",-87.6347320411,41.770252762
"20514","School",0,"Poetic Praize Youth Academy","Non Public School",,"BG","SALVATION ARMY","Chicago","845 W 69th St",-87.6463261376,41.7685693222
"20515","School",420754,"Wentworth Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","6950 S Sangamon St",-87.648728089,41.7676942054
"20519","School",413623,"John Mills Elementary School","Public School",,"ACGI","SCHOOL DISTRICT #401","Elmwood Park","2824 76th Ave",-87.8168167187,41.9317157664
"20524","School",1832992,"Hinton Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","644 W 71St St",-87.6413562311,41.7657705658
"20527","School",404786,"Bradwell Community Arts and Science Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7736 S Burnham Ave",-87.5576625016,41.7547223619
"20532","School",420365,"Wadsworth Elementary School","Public School",,"ACGI",,"Chicago","6408 S University Ave",-87.5979799325,41.7779000797
"20533","School",0,"U of C Charter - Woodlawn High School","Public School",,"GI","CHICAGO PUB BLDG COMM","Chicago","6408 S University Ave",-87.5979954178,41.7778029233
"20538","School",1831218,"Mount Carmel High School","Public School","Additional GNIS codes of 1825965, 1825964, and 418148.","ACGI","SOCIETY OF MT CARMEL","Chicago","6410 S Dante Ave",-87.5888791629,41.7778278258
"20542","School",411106,"Woodlawn Elementary Community School","Public School","Additional GNIS code of 1836903.","ACGI","CHICAGO BOARD OF ED","Chicago","6657 S Kimbark Ave",-87.5939610752,41.7738084129
"20543","School",415409,"Parkside Elementary Community Academy","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","6938 S East End Ave",-87.5832920172,41.7688602508
"20547","School",0,"Saint Paul Evangelical Lutheran School","Non Public School",,"ABGI","ST PAUL EV LUTHERAN CH","Chicago","7621 S Dorchester Ave",-87.5904203496,41.7560704154
"20551","School",0,"Institute of Positive Education","Non Public School",,"AGI","INSTITUTE POSITIVE ED","Chicago","7825 S Ellis Ave",-87.6000144007,41.7525590005
"20561","School",1833160,"Saint Carthage School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","7320 S Yale St",-87.6308292171,41.7612944882
"20578","School",407964,"Elmwood Elementary School","Public School",,"ACG","SCHOOL DISTRICT #401","Elmwood Park","2319 76th Ave",-87.815362334,41.9222479352
"20582","School",419541,"Tanner Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7350 S Evans Ave",-87.6072972704,41.7610166903
"20601","School",1829900,"Guggenheim Elementary School","Public School",,"CGI","CHICAGO BD EDUCATION","Chicago","7141 S Morgan St",-87.6485789945,41.7636350864
"20602","School",411681,"Lady of Peace School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","7847 S Jeffery Blvd",-87.5753768051,41.7521552757
"20604","School",412836,"Madison Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7433 S Dorchester Ave",-87.5902221599,41.7598065984
"20613","School",407119,"Deneen Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7240 S Wabash Ave",-87.6241069108,41.7625223662
"20614","School",0,"Robert A. Black Magnet Elementary School","Public School",,"G","CHICAGO BD EDUCATION","Chicago","7133 S Coles Ave",-87.5636920159,41.7657927563
"20615","School",1832723,"Powell Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7530 S South Shore Dr",-87.5565625884,41.7592694863
"20617","School",407477,"Wadsworth Elementary School","Public School","School was previously Dumas Technology Academy Elementary School, but according to the public school closing news release it was taken over by Wadsworth Elementary.","ACGI","CHICAGO BD EDUCATION","Chicago","6650 S Ellis Ave",-87.6013360038,41.7740012282
"20621","School",408332,"South Shore Fine Arts Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","1415 E 70th St",-87.590236104,41.7670870686
"20622","School",426844,"Joplin Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7931 S Honore St",-87.6691180119,41.7494063486
"20623","School",0,"Chicago International Charter School - Ralph Ellison","Public School",,"GI","CHGO.CHARTER SCH.FOUND","Chicago","8001 S Honore St",-87.6693381131,41.7481445511
"20624","School",1826474,"Providence-Englewood Elementary Charter School","Public School",,"ABCGI","CHICAGO BD EDUCATION","Chicago","6515 S Ashland Ave",-87.6634577131,41.7751679538
"20625","School",412702,"Mays Elementary Academy","Public School","Additional GNIS code of 1837136.","ACGI","CHICAGO BD EDUCATION","Chicago","838 W Marquette Rd",-87.646331241,41.7728983632
"20626","School",414969,"Oglesby Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7646 S Green St",-87.6459715271,41.754890929
"20627","School",403467,"Wentworth Elementary School","Public School","School was previously Altgeld Elementary, but according to the public school closing news release it was taken over by Wentworth Elementary","ACGI","CHICAGO BD EDUCATION","Chicago","1340 W 71st St",-87.6583850081,41.7659131435
"20629","School",405079,"Bouchet Elementary Math & Science Academy","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7355 S Jeffery Blvd",-87.5755218705,41.7615491287
"20638","School",0,"West Englewood Christian Community School","Non Public School",,"ABGI","BACK TO GOD CHRTN REFM","Chicago","7324 S Racine Ave",-87.6543562018,41.7606707811
"20640","School",1772654,"Triton College","Public School","Additional GNIS code of 1830884","CEGI","JR COLLEGE DIST #504","River Grove","2000 5th Ave",-87.841538908,41.9153742815
"20645","School",417246,"Saint Columbanus School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Chicago","7120 S Calumet Ave",-87.6175590453,41.7650459405
"20650","School",417792,"Saint Sabina Academy","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Chicago","7801 S Throop St",-87.654444137,41.7517224625
"20653","School",417769,"Saint Philip Neri School","Non Public School","Additional GNIS code of 417181.","ACGI","CATHOLIC BISHOP CHGO","Chicago","2110 E 72nd St",-87.57280106,41.764729107
"20681","School",0,"Shabazz Charter - Shabazz","Public School",,"ABGI","INSTITUTE POSITIVE ED","Chicago","7823 S Ellis Ave",-87.6000144007,41.7525590005
"20686","School",1833217,"Saint Francis School","Non Public School",,"CG","CATH.OFTHE HOLY BIBLE","Chicago","1021 E 78th St",-87.5995334166,41.7526462397
"20694","School",426932,"River Grove Elementary School","Public School",,"ACGI","SCHOOL DIST #85 1/2","River Grove","2650 Thatcher Ave",-87.8369550745,41.9281981227
"20698","School",418395,"Chicago Seventh Day Adventist Academy","Non Public School","Additional GNIS codes of 1826548 and 1836687.","ABCGI","LAKE REG CONF 7TH DAY","Chicago","7008 S Michigan Ave",-87.6218825517,41.7668913181
"20709","School",0,"Faulkner School","Non Public School",,"AGI","NEW ORIGINAL C.O.G.I.C","Chicago","1750 E 78th St",-87.5812820477,41.753615368
"20721","School",403956,"Bass Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","1140 W 66th St",-87.6537716125,41.7749235445
"20722","School",413229,"Till Elementary Math and Science Academy","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","6517 S Champlain Ave",-87.6088769546,41.7758141262
"20732","School",416491,"Reed Elementary School","Public School",,"CGI","CHICAGO BD EDUCATION","Chicago","6350 S Stewart Ave",-87.6356723083,41.7786165857
"20740","School",416563,"Revere Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","1010 E 72nd St",-87.6000445246,41.7646431249
"20742","School",423602,"O'Keefe Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","6940 S Merrill Ave",-87.5733181438,41.7689183899
"20748","School",417249,"Saint Cyprian School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","River Grove","2561 Clinton St",-87.8302853607,41.9265941091
"20764","School",409901,"Harvard Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7525 S Harvard Ave",-87.6323844839,41.7572844885
"20791","School",0,"Prologue Charter - Johnston Fine Arts High School","Public School",,"AGI","3RD BAPTIST CHURCH","Chicago","1547 W 95th St",-87.6616016841,41.7204368296
"20792","School",416577,"Rhodes Elementary School","Public School",,"ACGI","TRS SCHOOL DIST #841/2","River Grove","8931 Fullerton Ave",-87.847703236,41.9218494149
"20794","School",0,"Hughes L Elementary School","Public School",,"AI","CHICAGO BOARD OF ED","Chicago","240 W 104th St",-87.6295290519,41.7061148406
"20795","School",1826312,"Evangelical Christian School","Non Public School",,"ABCGI","EVANGELICAL CHRSTN SCH","Chicago","9130 S Vincennes Ave",-87.6486847307,41.7276517319
"20798","School",426854,"Jackson M Elementary School","Public School","Closed","ACGI","CHICAGO BD EDUCATION","Chicago","917 W 88th St",-87.6470939738,41.7334402648
"20811","School",0,"All Day Montessori","Non Public School",,"ABG","BEECHTREE INC","Chicago","1819 W 99th St",-87.6680395436,41.7136481735
"20814","School",413892,"Guerin College Preparatory High School","Non Public School",,"ABCG","SISTERS OF PROVIDENCE","River Grove","8001 W Belmont Ave",-87.8277713446,41.9360096246
"20820","School",426843,"Christ the King School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","9235 S Hamilton Ave",-87.675147246,41.725226049
"20822","School",426858,"Saint Thaddeus School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Chicago","9538 South Harvard Ave",-87.6328211046,41.7204188377
"20824","School",417522,"Saint Margaret of Scotland School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Chicago","9833 S Throop St",-87.6540516763,41.7148178049
"20826","School",426860,"Saint Helena of the Cross School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Chicago","10115 S Parnell Ave",-87.6361931378,41.7102852077
"20828","School",417271,"Saint Ethelreda School","Non Public School",,"ACGI","CATHOLIC BISHOP CHGO","Chicago","8734 S Paulina St",-87.6655218937,41.7345627083
"20834","School",403331,"Chicago International Charter School - Longwood Campus","Public School",,"CGI","CHGO.CHARTER SCH.FOUND","Chicago","9552 S Throop St",-87.6562662392,41.7202341114
"20835","School",0,"US Grant Elementary School","Public School",,"AGIL","SCHOOL DIST #170","South Chicago Heights","2712 Miller Ave",-87.6412953744,41.4883975465
"20839","School",426667,"Vanderpoel Elementary Magnet School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","9510 S Prospect Ave",-87.6659216767,41.7204980684
"20842","School",417083,"Ryder Elementary Math and Science Specialty School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","8716 S Wallace St",-87.6393351312,41.735125708
"20843","School",0,"Shabazz Charter - Sizemore","Public School",,"GI","CHICAGO BD EDUCATION","Chicago","8716 S Wallace St",-87.6393351312,41.735125708
"20844","School",420353,"Wacker Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","9741 S Carpenter St",-87.6485567945,41.7163483813
"20845","School",426614,"Turner-Drew Elementary Language Academy","Public School",,"ACGI","CHICAGO BOARD OF ED","Chicago","9300 S Princeton Ave",-87.630943642,41.7255748713
"20851","School",416959,"Roseland Christian School","Non Public School",,"ABCGI","ROSELAND CHRSTN SCHOOL","Chicago","314 W 108th St",-87.6315791765,41.698212923
"20855","School",42685,"Oakdale Christian Academy","Non Public School",,"ACGI","OAKDALE COV CH OF CHGO","Chicago","9440 S Vincennes Ave",-87.6506555904,41.722460267
"20858","School",1826402,"Bethlehem Lutheran School","Non Public School",,"BCG","BETHLEHEM LUTH CHURCH","River Grove","2624 Oak St",-87.8358252726,41.918198985
"20875","School",0,"Resurrection Lutheran School","Non Public School",,"AGI","RESURRECTION LUTH CH","Chicago","9349 S Wentworth Ave",-87.6283643392,41.7236105571
"20882","School",0,"L.H. Day Lower School","Non Public School",,"I",,"Chicago","1724 W 87th St",-87.6664610192,41.7360521571
"20896","School",426861,"Evers Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","9803 S Lowe Ave",-87.6388144744,41.7156417968
"20899","School",420221,"Lavizzo Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","138 W 109th St",-87.6268077632,41.6966421709
"20907","School",0,"Operation Restoration Development School","Non Public School",,"AG","ACME MISS BAPT CHURCH","Chicago","8758 S Peoria St",-87.6462041755,41.7344852624
"20910","School",411535,"Kipling Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","9351 S Lowe Ave",-87.6390414021,41.7242572409
"20919","School",0,"Together in Love Academy","Non Public School",,"AG","ROSELAND CHRSTN MIN CT","Chicago","5 E 102nd Pl",-87.6230956705,41.7078306551
"20923","School",0,"Prairie Oak School","Public School",,"BG","SCHOOL DIST #98","Berwyn","1421 Oak Park Ave",-87.7932657343,41.8606059822
"20937","School",1836775,"Southside Occupational Academy High School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7342 S Hoyne Ave",-87.6769744446,41.7602109248
"20938","School",1832802,"Randolph Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","7316 S Hoyne Ave",-87.6769744446,41.7602109248
"20941","School",0,"Barbara A Sizemore Academy","Public School","Feature name was found on google streetview","BG","CHICAGO BD EDUCATION","Chicago","1540 W 84th St",-87.6620581228,41.7415846864
"20945","School",404926,"Brookwood Middle School","Public School",,"ACGL","SCHOOL DIST #167","Glenwood","201 Glenwood-Dyer Rd",-87.6046625502,41.5418986251
"20947","School",426853,"Simeon Career Academy High School","Public School",,"ACGI","CHICAGO BOARD OF ED","Chicago","8147 S Vincennes Ave",-87.6349836864,41.7452876228
"20948","School",409021,"Gillespie Elementary School","Public School",,"ACGI","CHICAGO BD EDUCATION","Chicago","9301 S State St",-87.6231936661,41.7246289564
"20951","School",426857,"Cuffe Math-Science Tech Elementary Academy","Public School",,"ACGI","CHICAGO BOARD OF ED","Chicago","8324 S Racine Ave",-87.6538571575,41.7417771303
"20952","School",426856,"Morgan Elementary School","Public School","Closed","ACGI","PUB BLDG COMM OF CHGO","Chicago","8407 S Kerfoot Ave",-87.6395820087,41.7412452483
"20956","School",411603,"Komensky Elementary School","Public School",,"ACG","SCHOOL DIST #100","Berwyn","2515 Cuyler Ave",-87.7815431801,41.844804318
"20960","School",426666,"Timothy Lutheran School","Non Public School",,"CGI","TIMOTHY LUTHERAN CH","Chicago","1708 W 83rd St",-87.6661150061,41.7432826376
"20967","School",407995,"Emerson Elementary School","Public School",,"ACG","SCHOOL DIST #100","Berwyn","3105 Clinton Ave",-87.7956374829,41.8354776042
"20988","School",0,"Chicago Mathematics And Science Academy Charter School","Non Public School",,"ABI",,"Chicago","7202 N Clark St",-87.6752436718,42.0137040393
"20994","School",406615,"Cottage Grove Upper Grade Center","Public School",,"ACGIL","SCHOOL DIST #169","Ford Heights","800 E Lincoln Hwy",-87.5959146412,41.505607909
"20995","School",409932,"Karel Havlicek Elementary School","Public School",,"ACG","SCHOOL DIST #98","Berwyn","6401 15th St",-87.7844867251,41.8603474973
"21003","School",417511,"Saint Leonard School","Public School",,"ACG","CATHOLIC BISHOP CHGO","Berwyn","6631 Clarence Ave",-87.7893168825,41.8314087915
"21009","School",415572,"Pershing Elementary School","Public School",,"ACG","SCHOOL DIST #100","Berwyn","6537 37th St",-87.7870708452,41.8255351496
"21012","School",417657,"Saint Odilo School","Non Public School",,"ACG","CATHOLIC BISHOP CHGO","Berwyn","6617 23rd St",-87.7890037674,41.8484358039
"21014","School",415735,"Piper School","Public School",,"ACG","SCHOOL DIST #100","Berwyn","2435 Kenilworth Ave",-87.7953106383,41.845627546
"21018","School",1837128,"Warren Park School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","1225 60th Ct",-87.7749842453,41.8645459131
"21020","School",413307,"McKinley Elementary School","Public School",,"CG","SCHOOL DISTRICT #99","Cicero","5835 Roosevelt Rd",-87.7712910713,41.8650090855
"21022","School",417287,"Saint Frances of Rome School","Non Public School",,"ACG","CATHOLIC BISHOP CHGO","Cicero","1401 S Austin Blvd",-87.7734658776,41.860703387
"21024","School",419730,"McKinley Elementary School","Public School",,"CG","SCHOOL DISTRICT #99","Cicero","1340 59th Ave",-87.7720827251,41.862075823
"21027","School",422298,"Cornerstone Christian School","Non Public School",,"ACG","INTERNATL CH-4SQ GOSPL","South Chicago Heights","2926 Commercial Ave",-87.6376749071,41.4854980574
"21028","School",405244,"Daniel Burnham Elementary School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","1620 59th Ave",-87.7718671257,41.8574668005
"21030","School",0,"J Sterling Morton Freshman Center","Public School",,"AG","SCHOOL DIST #201","Cicero","1600 54th Ave",-87.7603140694,41.8568740231
"21031","School",0,"J Sterling Morton Alternative School","Public School",,"AG","SCHOOL DIST #201","Cicero","1860 54th Ave",-87.7598657613,41.8548822079
"21032","School",0,"Unity Junior High School","Public School",,"AG","SCHOOL DIST # 99","Cicero","2115 54th Ave",-87.756774706,41.8527275876
"21041","School",417175,"Saint Anthony Catholic School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Cicero","1510 49th Ct",-87.7486034632,41.8600986638
"21043","School",1832907,"T Roosevelt Elementary School","Public School",,"BCG","SCHOOL DISTRICT #99","Cicero","1518 50th Ave",-87.7500309718,41.8598435619
"21049","School",422295,"Algonquin Primary Center","Public School",,"ACGL","SCHOOL DIST #163","Park Forest","170 Algonquin St",-87.666230029,41.4941813201
"21052","School",0,"Cicero School District 99","Public School",,"AG","SCHOOL DIST # 99","Cicero","5110 24th St",-87.7522903934,41.8477760391
"21054","School",418362,"Sherlock Elementary School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","5347 22nd Pl",-87.7585289064,41.8497343157
"21057","School",406121,"Cicero Elementary School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","4937 23rd St",-87.7476835936,41.8489686107
"21059","School",423560,"Bloom Trail High School","Public School",,"ACGIL","SCHOOL DIST #206","Steger","880 E Sauk Trl",-87.5930278154,41.4836564305
"21061","School",409156,"Goodwin Elementary School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","2625 S Austin Blvd",-87.7729299066,41.842818691
"21068","School",421418,"Woodbine Elementary School","Public School","Additional GNIS code of 1959268.","ACG","SCHOOL DISTRICT #99","Cicero","5015 30th St",-87.7496160527,41.8381495951
"21070","School",404925,"Brookwood Junior High School","Public School",,"ACG","SCHOOL DIST #167","Bloom Twp","201 E Glenwood-Lansing Rd",-87.6057289375,41.5435165046
"21073","School",421304,"Woodrow Wilson Elementary School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","5700 23rd Pl",-87.7668520654,41.8486968805
"21076","School",406419,"Columbus Elementary School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","3100 54th Ave",-87.7599415227,41.8359040712
"21079","School",407392,"Drexel Elementary School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","3600 54th Ave",-87.7589479415,41.8268660014
"21082","School",1826242,"Edison Elementary School","Public School",,"ACG","SCHOOL DIST #103","Stickney","4100 Scoville Ave",-87.786833206,41.8169116918
"21092","School",417115,"Charles J Sahs Elementary School","Public School",,"ACG","SCHOOL TRUSTEES 110","Stickney Twp","5001 Long Ave",-87.757423327,41.8018370675
"21097","School",417775,"Saint Pius X School","Non Public School",,"CG","CATHOLIC BISHOP CHGO","Stickney","4314 Oak Park Ave",-87.7930264505,41.8137736178
"21099","School",410457,"Home Elementary School","Public School",,"ACG","SCHOOL DIST #103","Stickney","4400 Home Ave",-87.797648725,41.8114354387
"21101","School",426953,"Doctor Charles E Gavin Elementary School","Public School",,"CGIL","SCHOOL DIST #170","Chicago Heights","280 E 12th St",-87.6231780572,41.5091200855
"21108","School",1830853,"Jefferson Elementary School","Public School","Additional GNIS code of 411075.","ACG","SCHOOL DIST #98","Berwyn","7035 16th St",-87.8002901217,41.858128881
"21109","School",1831330,"Liberty Elementary School","Public School",,"ACG","SCHOOL DISTRICT #99","Cicero","4940 13th St",-87.7490514039,41.8642792233
"21114","School",412188,"Lincoln Middle School","Public School",,"BCG","SCHOOL DIST #98","Berwyn","6432 16th St",-87.785586083,41.8575168116
"21116","School",413867,"Morton College","Public School",,"CG","COMM COLLEGE DIST 527","Cicero","3700 54th Ave",-87.7606137329,41.8236443364
"21118","School",0,"Higher Heights Christian Academy","Non Public School",,"AGI","VILLAGE OF FORD HGTS","Ford Heights","1647 Cottage Grove Ave",-87.5962418353,41.5030153783
"21126","School",411802,"Lane Elementary School","Public School",,"ACG","SCHOOL DIST #126","Alsip","4600 123rd St",-87.7338226358,41.6702749579
"21146","School",0,"Mary P Moody Christian Academy","Non Public School",,"ABG","GODS HSE-LOVE PRAY DEL","Robbins","3811 139th St",-87.7142271801,41.6397900307
"21161","School",0,"Washington-McKinley Elementary School","Public School",,"AGIL","SCHOOL DIST #170","Chicago Heights","25 W 16th St",-87.6417228979,41.5019016197
"21170","School",419187,"Stoney Creek Elementary School","Public School",,"ACGI","SCHOOL DIST #126","Alsip","11710 Kolin Ave",-87.7295355479,41.6793851863
"21181","School",426909,"Kolmar Elementary School","Public School",,"ACG","SCHOOL DIST #143","Crestwood","4500 W 143rd St",-87.7314860856,41.6335860036
"21186","School",1737185,"Incarnation School","Non Public School",,"ACGL","CATHOLIC BISHOP CHGO","Crestwood","5705 W 127th St",-87.7616143297,41.6603719096
"21189","School",407864,"Elim Christian School","Non Public School",,"ABCG","ELIM CHRISTIAN SCHOOL","Crestwood","13020 S Central Ave",-87.7602555628,41.6556826979
"21190","School",0,"Nathan Hale Primary School","Public School",,"AGI","VILLAGE OF CRESTWOOD","Crestwood","5324 W 135th St",-87.7502163825,41.6487068724
"21191","School",1831422,"Nathan Hale Intermediate School","Public School",,"ACGI","VILLAGE OF CRESTWOOD","Crestwood","5220 W 135th St",-87.7502163825,41.6487068724
"21192","School",426908,"Nathan Hale Middle School","Public School",,"ACGIL","VILLAGE OF CRESTWOOD","Crestwood","5220 W 135th St",-87.7502163825,41.6487068724
"21194","School",0,"Care Program School","Public School",,"AGI","SCHOOL DIST #130","Crestwood","5318 W 135th St",-87.7502163825,41.6487068724
"21202","School",416054,"Posen Intermediate School","Public School",,"ACGL","SCHOOL DIST #143 1/2","Posen","14545 California Ave",-87.6882311403,41.6288247927
"21208","School",0,"Alternative Academic Achievement Academy","Non Public School",,"GL","CATHOLIC BISHOP CHGO","Posen","14418 Mc Kinley Ave",-87.6830164695,41.6304172981
"21210","School",405381,"Calumet Elementary School","Public School",,"ACG","SCHOOL DIST #132","Calumet Park","1440 Vermont St",-87.6577887232,41.6603523549
"21216","School",426900,"Seven Holy Founders School","Non Public School","Additional GNIS Code of 1737163.","ACGL","CATHOLIC BISHOP CHGO","Calumet Park","12400 Ada St",-87.6557129769,41.6676614396
